epoch,train_loss,val_loss,val_accuracy,val_macro_f1,elapsed_seconds
1,2.3750116033306137,2.278594921143841,0.13998907402349084,0.07546202228279068,5.16205906867981
2,2.326012245570843,2.272877055483091,0.14053537284894838,0.08449455329393521,1.6964592933654785
3,2.307381032459051,2.26730748363871,0.13916962578530456,0.0822317610976635,1.6937313079833984
4,2.2917307252544785,2.2611625383408858,0.14080852226167714,0.0956039720406341,1.6926004886627197
5,2.2795526977662903,2.2462860680902894,0.16948921059819722,0.14624341159691262,1.6970698833465576
6,2.2650070797467294,2.232477409661842,0.17809341709915325,0.15745627957651748,1.783043384552002
7,2.2479053755327145,2.214011121206484,0.1884730947828462,0.15728304038127155,1.6875450611114502
8,2.224826568876118,2.1891986620422923,0.2032231630701994,0.17679533169195646,1.7038617134094238
9,2.1963230383144845,2.1498236290192674,0.22848948374760994,0.2033270709540118,1.6971442699432373
10,2.177508279848787,2.134197510451249,0.23340617317672768,0.20853919731277534,1.693704605102539
11,2.1540227708055344,2.123835931674798,0.23668396612947282,0.2066301448584807,1.6915638446807861
12,2.13239252309474,2.0829292061354288,0.2653646544659929,0.2366646402624771,1.7081043720245361
13,2.112855110523214,2.061942303190463,0.2747883092051352,0.2517378115364727,1.708923578262329
14,2.086154083353908,2.0425997816191055,0.2801147227533461,0.2474095742724281,1.699873685836792
15,2.067281528839902,2.0132940600264173,0.2982791586998088,0.27744651772998086,1.7051496505737305
16,2.0441591404980555,1.9704521483848798,0.32422835290904123,0.30408376327579995,1.696251392364502
17,2.018871146223668,1.9849928891974633,0.3041518710734772,0.28089166267200183,1.7857894897460938
18,1.988410816749295,1.916317966947527,0.3512701447691887,0.3343169384716343,1.6998331546783447
19,1.9610553304283789,1.9098346390316507,0.35140671947555313,0.338348075836251,1.709296464920044
20,1.942683490878359,1.8634369453423925,0.37476099426386233,0.367487811383691,1.702115535736084
21,1.914659526001499,1.8396233240785054,0.39210598197213875,0.37776655816551263,1.698491096496582
22,1.891920774191318,1.8333565649586407,0.3873258672493854,0.37370652050578296,1.6995642185211182
23,1.86739562078615,1.814012181364881,0.3992078667030866,0.38820874334155586,1.7030034065246582
24,1.8459708229068936,1.768575169095183,0.42146954384048074,0.41514654207981305,1.694230556488037
25,1.8269605140664757,1.7310414724224938,0.4465992898115269,0.43988701289916954,1.6953589916229248
26,1.804849671838779,1.7298414708160696,0.43171264681780935,0.4209708049083529,1.7083959579467773
27,1.779657554714394,1.7071294258996066,0.45042338158972955,0.43750145751442326,1.7869892120361328
28,1.7651571535550685,1.7043498790970724,0.4385413821360284,0.42116046353096326,1.6968512535095215
29,1.7398853790932098,1.69742921335845,0.4393608303742147,0.43036304399772174,1.6963860988616943
30,1.7146813213317733,1.6540374961650883,0.4728216334334881,0.46581670458514085,1.6995296478271484
31,1.7008679556574147,1.6069947840964915,0.49084949467358646,0.4875945391610041,1.6990833282470703
32,1.6716963411414199,1.600659035522734,0.5095602294455067,0.5075453304035297,1.7006843090057373
33,1.6538185339473785,1.5654543913377825,0.5107894018027861,0.5078449027620365,1.7017555236816406
34,1.6360879794379888,1.5630491273515832,0.5102431029773286,0.5028063510988735,1.7115025520324707
35,1.6233936092466332,1.5493069800220856,0.5118819994537012,0.5070307073470462,1.7080647945404053
36,1.603270045792487,1.5126367626343877,0.5404261130838569,0.5377025229630868,1.699610710144043
37,1.5906320369803222,1.5230632082616915,0.5245834471455887,0.5195432202447126,1.7952282428741455
38,1.5626922236034704,1.4749794702196473,0.5509423654739143,0.5501732480212564,1.7030823230743408
39,1.54446042024204,1.4553715923515638,0.5635072384594373,0.5613141553949276,1.700392723083496
40,1.5342181781675355,1.4569864096259915,0.5554493307839388,0.5529903404015198,1.713728666305542
41,1.5128524818148155,1.4580475932683687,0.5528544113630156,0.54929861450832,1.699098825454712
42,1.4966367001807717,1.4488269625319643,0.556951652553947,0.5526809278976372,1.6985673904418945
43,1.4839757967260112,1.4067871948305748,0.5790767549849768,0.5776468573717806,1.7027089595794678
44,1.4671235055115381,1.3971458824890228,0.5786670308658837,0.5763365713160594,1.7072813510894775
45,1.452862026478344,1.388609611574531,0.5809888008740781,0.5769265723698238,1.7042450904846191
46,1.4394511370061172,1.3793284172114373,0.5878175361922972,0.5866701168163251,1.7062506675720215
47,1.421986222809924,1.349143219886338,0.5975143403441683,0.5951769531501824,1.7019927501678467
48,1.4058073813790524,1.3369864733353953,0.6091231903851406,0.609561590001177,1.8004653453826904
49,1.4021383883636875,1.3193931245829882,0.6175908221797323,0.6174084784963038,1.7112505435943604
50,1.3811761567605974,1.310739166096435,0.6170445233542748,0.6154503363298744,1.7171573638916016
