experiment_id,category,method_family,model,dataset,subject_setting,split_mode,evaluation_level,noise_type,noise_level,denoise_method,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,notes
dl_noise_clean_lvl0p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,clean,0.0,none,0.609889,0.611056,,,outputs/dl_noise_eval_pilot/fold5/dualres_xception2d/clean_lvl0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,none,0.605518,0.606735,,,outputs/dl_noise_eval_pilot/fold5/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,none,0.569458,0.570010,,,outputs/dl_noise_eval_pilot/fold5/dualres_xception2d/wgn_lvl10p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_motion_lvl0p3_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,motion,0.3,none,0.560033,0.559879,,,outputs/dl_noise_eval_pilot/fold5/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_drift_lvl0p3_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,drift,0.3,none,0.531348,0.533643,,,outputs/dl_noise_eval_pilot/fold5/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json,DL noise eval (window-level)
