experiment_id,category,method_family,model,dataset,subject_setting,split_mode,evaluation_level,noise_type,noise_level,denoise_method,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,notes
dl_noise_clean_lvl0p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,clean,0.0,none,0.608387,0.605439,,,outputs/dl_noise_eval_pilot/fold3/dualres_xception2d/clean_lvl0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,none,0.606748,0.604225,,,outputs/dl_noise_eval_pilot/fold3/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,none,0.576014,0.573057,,,outputs/dl_noise_eval_pilot/fold3/dualres_xception2d/wgn_lvl10p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_motion_lvl0p3_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,motion,0.3,none,0.561945,0.559865,,,outputs/dl_noise_eval_pilot/fold3/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_drift_lvl0p3_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,drift,0.3,none,0.541729,0.540712,,,outputs/dl_noise_eval_pilot/fold3/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json,DL noise eval (window-level)
