epoch,train_loss,val_loss,val_accuracy,val_macro_f1,elapsed_seconds
1,2.352230345840968,2.2623341881524013,0.14138817480719795,0.06657285795504292,6.05579948425293
2,2.289413741200303,2.223208374964854,0.17172236503856042,0.09953441402812793,1.36159086227417
3,2.2466526888807743,2.19286188748318,0.2077120822622108,0.16603515368951607,1.371185541152954
4,2.2127057373425294,2.1485444660971282,0.23290488431876608,0.20594820495865745,1.3736069202423096
5,2.1541654813793856,2.116353896221955,0.2601542416452442,0.20104481346255665,1.372584581375122
6,2.0720019295696197,1.973583756375742,0.2827763496143959,0.26481255718185026,1.3679192066192627
7,1.9805307864658293,1.958651742591956,0.32390745501285345,0.3166888550440319,1.3729052543640137
8,1.8957938739733489,1.8803421668957316,0.34704370179948585,0.3409399974632201,1.364466667175293
9,1.7994706688850275,1.736383789241467,0.40822622107969153,0.37943365309832844,1.367591381072998
10,1.7116362084492058,1.6531191580706206,0.4966580976863753,0.4905200544094114,1.3699684143066406
