class_index,gesture_id,support,correct,accuracy
0,1,790,455,0.5759493670886076
1,2,692,335,0.4841040462427746
2,3,766,482,0.6292428198433421
3,4,743,416,0.5598923283983849
4,5,735,442,0.601360544217687
5,6,763,425,0.5570117955439057
6,7,755,539,0.713907284768212
7,8,707,448,0.6336633663366337
8,9,687,450,0.6550218340611353
9,10,683,473,0.6925329428989752
