feature_set,model,acc_mean,acc_std,macro_f1_mean,macro_f1_std
TD,LDA,0.3497416684112386,0.00806853377568596,0.34793079034393753,0.007877232191560082
TD,SVM_RBF,0.7266372091136912,0.004331245654304425,0.7274202141209295,0.004181226141177233
TD,RF,0.9234574790760499,0.004246101592537819,0.9232845070812274,0.004223724588093976
TD+FD,LDA,0.362089167295751,0.006763665619687603,0.3605322926450273,0.00668617577268659
TD+FD,SVM_RBF,0.7296693877263197,0.004150065376100863,0.7304581356479847,0.003947240326013016
TD+FD,RF,0.9227472159821619,0.004031924027097809,0.9226051375897208,0.004064349164252206
TD+FD+AR,LDA,0.3770313580077681,0.008122780549112073,0.375996538601272,0.007888023717226534
TD+FD+AR,SVM_RBF,0.7259269124404465,0.004064316087760636,0.7267389153701616,0.003912431627581845
TD+FD+AR,RF,0.9207804208172462,0.0047250438664110175,0.9207315153383403,0.004708807304256996
