model,acc_mean,acc_std,macro_f1_mean,macro_f1_std
LDA,0.3770313580077681,0.008122780549112073,0.375996538601272,0.007888023717226534
SVM_RBF,0.7259269124404465,0.004064316087760636,0.7267389153701616,0.003912431627581845
RF,0.9207804208172462,0.0047250438664110175,0.9207315153383403,0.004708807304256996
