epoch,train_loss,val_loss,val_accuracy,val_macro_f1,elapsed_seconds
1,2.2935860693888177,2.26871766584618,0.1456086673020013,0.09416225293509464,120.8589334487915
2,2.259626028851187,2.2534536593188887,0.15463710688669308,0.11521579019305879,167.96090054512024
3,2.2250551908563017,2.196262769500106,0.19145307719315846,0.16337777288896901,246.3959503173828
4,2.1723368732375405,2.128358441608902,0.2318302653358078,0.21078314778308288,150.0518593788147
5,2.112463542111647,2.108817360074325,0.234789587199679,0.20427978376825146,147.7645480632782
6,2.0563821971236282,2.039368574709102,0.270552239554597,0.2629459853757153,154.3401734828949
7,2.0099063955750847,1.9715725499971248,0.3037066760294929,0.2966727469667643,193.30241298675537
8,1.9700222130060994,1.9439615814892826,0.31699854541806693,0.3130045964284297,193.60642385482788
9,1.929125931950817,1.9223096551750203,0.32858504288508805,0.32784429032892975,219.1827676296234
10,1.8894851572870652,1.9081072482935026,0.3298389928274063,0.3251348328902912,223.20624136924744
11,1.853955280929816,1.8696264715331508,0.35421577970607415,0.3541155266449524,250.53473687171936
12,1.8183300781039613,1.8321964425105965,0.3726237648593068,0.37200586358595966,210.48395919799805
13,1.7854149025808665,1.8101603289918602,0.3777398806239655,0.379146143821929,242.320734500885
14,1.752062487857425,1.800894050395566,0.38265536439785325,0.38436244488041454,322.989298582077
15,1.7228996869093531,1.76568515139788,0.4066810452926719,0.40666365073256705,272.07392144203186
16,1.6878926552377385,1.7778036730120963,0.3979033956964438,0.4000177880139792,292.02204632759094
17,1.6620657096122233,1.7212771364982073,0.4194211767066259,0.42137537162343364,404.67349791526794
18,1.6390542163111745,1.7486922980168043,0.40788483723729746,0.4112989113555874,538.0046334266663
19,1.6151479472559995,1.7280625425035858,0.4244871344735918,0.4262070972642684,437.5627689361572
20,1.5913531004053012,1.7387544256266676,0.41405427095350356,0.40826426911229463,254.79868173599243
21,1.5618142682885177,1.6701405570303394,0.44796107739379043,0.44790762456175803,50.994330167770386
22,1.5465706256453007,1.6536781044884588,0.4572403069669459,0.4584390208331148,57.26403737068176
23,1.5271053445252516,1.658994297962846,0.4547324070823093,0.4558160541845123,58.290316343307495
24,1.506687192186751,1.6492960818368632,0.45889552089080604,0.4610613457709388,57.568782806396484
25,1.4869135377064027,1.677646040820774,0.44640617946531574,0.44639283948134445,57.70887494087219
26,1.4707234365019264,1.6820101546758084,0.4308572001805688,0.42964048128253796,60.888866662979126
27,1.4535611139304965,1.6523216308140853,0.45312735115614183,0.4509573644269566,63.85166573524475
28,1.4369372548693895,1.6133829991078552,0.47609971409941315,0.4781366088838702,63.84790253639221
29,1.419210756679251,1.6089357372008792,0.46827506645934697,0.46659267320852305,71.26467084884644
30,1.4085602713036414,1.6250270696749938,0.46386116266238653,0.4647597360375384,73.16410446166992
31,1.39375053152207,1.592584301650826,0.4860811556402668,0.4857418014238878,149.95629215240479
32,1.3807087758970724,1.5718583642058204,0.49741686311882427,0.49956865255334765,55.826470136642456
33,1.366987659450216,1.5489856851622914,0.49781812710036616,0.4977944330637718,63.31394696235657
34,1.3531863968418514,1.6026388661352102,0.48638210362642326,0.4889353209196929,64.33587384223938
35,1.3430444508618082,1.5502510483850775,0.50027586898731,0.5009480973703324,64.96097493171692
36,1.3298200533664521,1.5515010692580937,0.4994733410242263,0.5011239488078036,57.74242401123047
37,1.3195600928877662,1.5682488284953147,0.49330390730802026,0.4947309799430971,55.9141411781311
38,1.3087272872292866,1.6139497398618603,0.4792095099563625,0.4802203207773399,56.073901414871216
39,1.300344688402047,1.5345019983863821,0.510959522495862,0.5120410010437189,56.8294517993927
40,1.2879548483185543,1.5723254603859342,0.4865325776195014,0.48454971078037506,57.54741430282593
41,1.2811729610273093,1.5314353123683178,0.5110598384912475,0.5113345205327768,56.68795347213745
42,1.2664781915127563,1.5335714256786777,0.5089532025881527,0.510233692223365,56.671406745910645
43,1.262860936804509,1.54050443522483,0.5061443547173596,0.5035420244759135,57.21485710144043
44,1.2571875737806055,1.5569820687531313,0.5026332948788684,0.5035466616847561,57.57685041427612
45,1.2408253007449788,1.5525010893623157,0.5033856648442594,0.5058448143339389,57.40714073181152
46,1.2317767854648163,1.541835962844097,0.5052916687565833,0.5054452320477812,56.934226751327515
47,1.2252382610210242,1.551525344495615,0.5010783969503937,0.5003593633113511,56.857911109924316
48,1.2217023266911438,1.5740609358310962,0.49561117520188597,0.49402982981310545,57.64743971824646
49,1.2157479462996448,1.5398922540326292,0.50890304459046,0.5112952066236224,56.97083926200867
