experiment_id,category,method_family,model,dataset,subject_setting,split_mode,evaluation_level,noise_type,noise_level,denoise_method,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,notes
dl_noise_clean_lvl0p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,clean,0.0,none,0.609889,0.611056,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/clean_lvl0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,none,0.605518,0.606735,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,notch,0.598689,0.599613,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl20p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,wavelet,0.219506,0.202988,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl20p0_wavelet/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_kalman,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,kalman,0.221691,0.199985,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl20p0_kalman/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_pca,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,pca,0.382598,0.375949,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl20p0_pca/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,none,0.569458,0.570010,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl10p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,notch,0.571643,0.573035,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl10p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,wavelet,0.235760,0.225625,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl10p0_wavelet/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_kalman,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,kalman,0.244229,0.229957,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl10p0_kalman/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_pca,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,pca,0.365387,0.357387,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl10p0_pca/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,none,0.337795,0.321192,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl0p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,notch,0.345171,0.329738,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl0p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,wavelet,0.235624,0.217175,,,outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl0p0_wavelet/metrics_summary.json,DL noise eval (window-level)
