experiment_id,category,method_family,model,dataset,subject_setting,split_mode,evaluation_level,noise_type,noise_level,denoise_method,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,notes
dl_noise_clean_lvl0p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,clean,0.0,none,0.616719,0.613296,,,outputs/dl_noise_eval_full/fold4/dualres_xception2d/clean_lvl0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,none,0.618631,0.615450,,,outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,notch,0.614124,0.610676,,,outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl20p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,wavelet,0.242863,0.221947,,,outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl20p0_wavelet/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_kalman,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,kalman,0.241770,0.215016,,,outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl20p0_kalman/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_pca,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,pca,0.406092,0.403062,,,outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl20p0_pca/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,none,0.597323,0.592278,,,outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl10p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,notch,0.596503,0.591601,,,outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl10p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,wavelet,0.255156,0.239183,,,outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl10p0_wavelet/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_kalman,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,kalman,0.258161,0.239320,,,outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl10p0_kalman/metrics_summary.json,DL noise eval (window-level)
