experiment_id,category,method_family,model,dataset,subject_setting,split_mode,evaluation_level,noise_type,noise_level,denoise_method,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,notes
dl_noise_clean_lvl0p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,clean,0.0,none,0.620049,0.620078,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/clean_lvl0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,none,0.613903,0.614041,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,notch,0.611718,0.612092,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl20p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,wavelet,0.222070,0.203791,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl20p0_wavelet/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_kalman,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,kalman,0.223300,0.202985,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl20p0_kalman/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_pca,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,pca,0.398798,0.388889,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl20p0_pca/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,none,0.584130,0.584866,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl10p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,notch,0.582628,0.583558,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl10p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,wavelet,0.234635,0.221335,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl10p0_wavelet/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_kalman,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,kalman,0.238459,0.224235,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl10p0_kalman/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_pca,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,pca,0.375717,0.364996,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl10p0_pca/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,none,0.349085,0.344615,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl0p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,notch,0.350860,0.347180,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl0p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,wavelet,0.236957,0.211810,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl0p0_wavelet/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_kalman,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,kalman,0.272876,0.267518,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl0p0_kalman/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_pca,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,pca,0.247064,0.227999,,,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl0p0_pca/metrics_summary.json,DL noise eval (window-level)
