experiment_id,category,method_family,model,dataset,subject_setting,split_mode,evaluation_level,noise_type,noise_level,denoise_method,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,notes
dl_noise_clean_lvl0p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,clean,0.0,none,0.608387,0.605439,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/clean_lvl0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,none,0.606748,0.604225,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,notch,0.603333,0.600931,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl20p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,wavelet,0.252834,0.231615,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl20p0_wavelet/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_kalman,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,kalman,0.245048,0.216508,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl20p0_kalman/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl20p0_pca,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,20.0,pca,0.372490,0.354647,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl20p0_pca/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,none,0.576014,0.573057,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl10p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,notch,0.576697,0.573949,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl10p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,wavelet,0.263762,0.248377,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl10p0_wavelet/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_kalman,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,kalman,0.265537,0.242929,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl10p0_kalman/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl10p0_pca,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,10.0,pca,0.357738,0.339917,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl10p0_pca/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,none,0.359377,0.357146,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl0p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,notch,0.364568,0.362226,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl0p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,wavelet,0.266494,0.255175,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl0p0_wavelet/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_kalman,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,kalman,0.287256,0.276339,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl0p0_kalman/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvl0p0_pca,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,0.0,pca,0.252834,0.237493,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl0p0_pca/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvlneg5p0_none,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,-5.0,none,0.214315,0.205382,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvlneg5p0_none/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvlneg5p0_notch,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,-5.0,notch,0.217866,0.208749,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvlneg5p0_notch/metrics_summary.json,DL noise eval (window-level)
dl_noise_wgn_lvlneg5p0_wavelet,noise_robustness,DL,dualres_xception2d,db5,subject-dependent (S1-3),kfold,window,wgn,-5.0,wavelet,0.218823,0.188489,,,outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvlneg5p0_wavelet/metrics_summary.json,DL noise eval (window-level)
