class_index,gesture_id,support,correct,accuracy
0,1,790,406,0.5139240506329114
1,2,693,327,0.47186147186147187
2,3,766,543,0.7088772845953003
3,4,743,325,0.43741588156123823
4,5,735,475,0.6462585034013606
5,6,763,361,0.47313237221494103
6,7,754,620,0.8222811671087533
7,8,707,442,0.6251768033946252
8,9,687,485,0.7059679767103348
9,10,683,470,0.6881405563689604
