class_index,gesture_id,support,correct,accuracy
0,1,791,498,0.629582806573957
1,2,692,333,0.48121387283236994
2,3,766,427,0.5574412532637075
3,4,743,359,0.4831763122476447
4,5,735,464,0.6312925170068027
5,6,763,346,0.4534731323722149
6,7,754,567,0.7519893899204244
7,8,707,341,0.4823196605374823
8,9,688,481,0.6991279069767442
9,10,683,477,0.698389458272328
